Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolate,Lat_Lon,Isolation_Source,Sample_Type,env_biome,Genotype,TISSUE,sex,Sample_name,collected_by,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,dev_stage,Strain,ArrayExpress-SPECIES,AssemblyName,Host,isol_growth_condt,estimated_size,Ploidy,env_feature,env_material,num_replicons,propagation,env_broad_scale,env_local_scale,env_medium,BARCODE,GEO_Accession (exp),source_name,CULTURE_COLLECTION,Tax_ID,Type,Altitude,biotic_relationship,Cultivar,Ecotype,host_body_product,Host_disease,host_genotype,host_scientific_name,host_taxid,pathogenicity,samp_mat_process,trophic_level,Sample_Description,Age,BIOMATERIAL_PROVIDER,BREED,isolation-source,health_state,host_body_habitat,host_tissue_sampled,sample_comment
ERR311193,WGS,300,505570800,PRJEB3213,SAMEA2057587,268914418,SC,public,"sra,run.zq,bam","s3,gs,ncbi,ena","ncbi.public,ena,s3.us-east-1,gs.US",ERX284474,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057587,ERP001716,7144460,,,,,,,,,,,,,,MB378_1-sc-2013-03-28T15:11:12Z-1604518,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057587,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,MB378_1-sc-2013-03-28T15:11:12Z-1604518,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,assemblage B,,,,,,,,,,,,,,,,,,,,,
ERR311194,WGS,300,444436800,PRJEB3213,SAMEA2057588,236638259,SC,public,"sra,run.zq,bam","ncbi,gs,s3,ena","ena,s3.us-east-1,ncbi.public,gs.US",ERX284475,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057588,ERP001716,7144461,,,,,,,,,,,,,,MB811-sc-2013-03-28T15:11:14Z-1604519,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057588,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,MB811-sc-2013-03-28T15:11:14Z-1604519,,Not Genotyped,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR311195,WGS,300,435823200,PRJEB3213,SAMEA2057589,229127680,SC,public,"sra,run.zq,bam","ncbi,ena,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",ERX284476,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057589,ERP001716,7144462,,,,,,,,,,,,,,M1096-sc-2013-03-28T15:11:15Z-1604520,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057589,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,M1096-sc-2013-03-28T15:11:15Z-1604520,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,assemblage B,,,,,,,,,,,,,,,,,,,,,
ERR311196,WGS,300,304738800,PRJEB3213,SAMEA2057590,177676174,SC,public,"sra,bam,run.zq","s3,ncbi,ena,gs","s3.us-east-1,ncbi.public,gs.US,ena",ERX284477,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057590,ERP001716,7144463,,,,,,,,,,,,,,M1297-sc-2013-03-28T15:11:16Z-1604521,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057590,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,M1297-sc-2013-03-28T15:11:16Z-1604521,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,assemblage B,,,,,,,,,,,,,,,,,,,,,
ERR311197,WGS,300,290733900,PRJEB3213,SAMEA2057591,172322039,SC,public,"bam,sra,run.zq","ena,gs,s3,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",ERX284478,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057591,ERP001716,7144464,,,,,,,,,,,,,,M1391-sc-2013-03-28T15:11:18Z-1604522,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057591,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,M1391-sc-2013-03-28T15:11:18Z-1604522,,Assemblage A and B (mixed),Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR311198,WGS,300,288153600,PRJEB3213,SAMEA2057592,166322046,SC,public,"run.zq,bam,sra","ncbi,gs,s3,ena","gs.US,s3.us-east-1,ena,ncbi.public",ERX284479,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057592,ERP001716,7144465,,,,,,,,,,,,,,M1500-sc-2013-03-28T15:11:19Z-1604523,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057592,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,M1500-sc-2013-03-28T15:11:19Z-1604523,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,assemblage B,,,,,,,,,,,,,,,,,,,,,
ERR311199,WGS,300,267725700,PRJEB3213,SAMEA2057593,160027642,SC,public,"bam,sra,run.zq","ncbi,s3,gs,ena","gs.US,ena,s3.us-east-1,ncbi.public",ERX284480,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:16:00Z,1,SAMEA2057593,ERP001716,7144466,,,,,,,,,,,,,,M1709_1-sc-2013-03-28T15:11:20Z-1604524,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057593,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,M1709_1-sc-2013-03-28T15:11:20Z-1604524,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,assemblage B,,,,,,,,,,,,,,,,,,,,,
ERR311200,WGS,300,321809400,PRJEB3213,SAMEA2057594,185008645,SC,public,"sra,run.zq,bam","s3,ncbi,gs,ena","ncbi.public,s3.us-east-1,gs.US,ena",ERX284481,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:17:00Z,1,SAMEA2057594,ERP001716,7144467,,,,,,,,,,,,,,M1544-sc-2013-03-28T15:11:22Z-1604525,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2057594,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:10:45Z,public,M1544-sc-2013-03-28T15:11:22Z-1604525,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,assemblage B,,,,,,,,,,,,,,,,,,,,,
ERR311214,WGS,300,1958541300,PRJEB3213,SAMEA2064494,1262008175,SC,public,"bam,run.zq,sra","ena,gs,ncbi,s3","gs.US,ena,ncbi.public,s3.us-east-1",ERX284495,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:19:00Z,1,SAMEA2064494,ERP001716,7286711,,,,,,,,,,,,,,ALs_WGA-sc-2013-05-02T12:21:03Z-1621830,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2064494,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:12:45Z,public,ALs_WGA-sc-2013-05-02T12:21:03Z-1621830,,,Giardia intestinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR311215,WGS,300,1850118000,PRJEB3213,SAMEA2066657,1197110735,SC,public,"sra,bam,run.zq","gs,ncbi,s3,ena","s3.us-east-1,ncbi.public,ena,gs.US",ERX284496,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:19:00Z,1,SAMEA2066657,ERP001716,7286712,,,,,,,,,,,,,,BLs_WGA-sc-2013-05-02T12:21:06Z-1621831,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2066657,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:13:20Z,public,BLs_WGA-sc-2013-05-02T12:21:06Z-1621831,,,Giardia intestinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR311216,WGS,300,1211065800,PRJEB3213,SAMEA2064495,795191843,SC,public,"sra,bam,run.zq","gs,s3,ncbi,ena","s3.us-east-1,ncbi.public,ena,gs.US",ERX284497,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:18:00Z,1,SAMEA2064495,ERP001716,7286713,,,,,,,,,,,,,,CLs_WGA-sc-2013-05-02T12:21:07Z-1621832,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2064495,SC,Wellcome Sanger Institute,2013-07-08T10:06:37Z,2018-03-09T10:12:45Z,public,CLs_WGA-sc-2013-05-02T12:21:07Z-1621832,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR311217,WGS,300,159330000,PRJEB3213,SAMEA2064496,89692948,SC,public,"sra,run.zq,bam","gs,ena,ncbi,s3","ncbi.public,gs.US,ena,s3.us-east-1",ERX284498,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2013-07-20T00:00:00Z,2013-07-15T18:17:00Z,1,SAMEA2064496,ERP001716,7286714,,,,,,,,,,,,,,CLs_Ctrl-sc-2013-05-02T12:21:10Z-1621833,,2013-07-08,2013-07-08,2018-11-16,2018-03-09,SAMEA2064496,SC,Wellcome Sanger Institute,2013-07-08T10:06:36Z,2018-03-09T10:12:45Z,public,CLs_Ctrl-sc-2013-05-02T12:21:10Z-1621833,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
